"Year","Gun Control","Gun Rights","Gun Manufacturing"
"2022","$609329","$2089303","$640000"
"2021","$2913633","$15766760","$2220000"
"2020","$2100000","$10205036","$1610000"
"2019","$2330000","$12166438","$1570000"
"2018","$2039212","$12453572","$1081000"
"2017","$1942415","$11440684","$1254000"
"2016","$1657992","$11181199","$1040000"
"2015","$1678956","$11406347","$970000"
"2014","$1942396","$12013482","$782500"
"2013","$2197765","$15292052","$820000"
"2012","$250000","$6129911","$909500"
"2011","$280000","$5580651","$1295000"
"2010","$290000","$5847597","$1505000"
"2009","$251425","$5209870","$1514000"
"2008","$150000","$4128771","$1318000"
"2007","$208374","$3962242","$1288000"
"2006","$90100","$3184231","$1380000"
"2005","$230000","$4070587","$1395000"
"2004","$1352346","$4342400","$880000"
"2003","$1021665","$4283326","$672000"
"2002","$1842054","$5684546","$660000"
"2001","$2113699","$6236161","$708000"
"2000","$440000","$6710758","$500000"
"1999","$840000","$5891966","$795000"
"1998","$160000","$4498393","$530000"
